Recon 2 ID	Name	InChIKey	ChEBI ID	HMDB ID	KEGG ID	PubChem Compound ID	LMSD ID
4izp	4-Imidazolone-5-propanoate	HEXMLHKQVUFYME-UHFFFAOYSA-N	27384	HMDB01014	C03680	128	
4mlacac	4-maleylacetoacetate	GACSIVHAIFQKTC-UHFFFAOYSA-N	47904	HMDB02052	C01036	5280393	LMFA01170114
4mop	4-methyl-2-oxopentanoate	BKAJNAXTPSGJCU-UHFFFAOYSA-N	48430	HMDB00695	C00233	70	
4mptnl	4-methylpentanal	JGEGJYXHCFUMJF-UHFFFAOYSA-N	17998	HMDB01318	C02373		
4mtolbutamide	4 hydroxy tolbutamide	SJRHYONYKZIRPM-UHFFFAOYSA-N	63799	HMDB06408			
4mzym_int1	4-Methylzymosterol intermediate 1	MYWAIWDQTCHPTH-IUGQOUSLSA-N		HMDB06927	C15808		
4mzym_int2	4-Methylzymosterol intermediate 2	DBPZYKHQDWKORQ-JQDPPCHWSA-N	505093	HMDB06838	C15816		
4nph	4-nitrophenolate	BTJIUGUIPKRLHP-UHFFFAOYSA-N	16836	HMDB01232	C00870		
4nphsf	4-Nitrophenyl sulfate	JBGHTSSFSSUKLR-UHFFFAOYSA-N	35422	HMDB06492			
4ppan	D-4'-Phosphopantothenate	XHFVGHPGDLDEQO-ZETCQYMHSA-N	15905	HMDB01016	C03492	41635	
4ppcys	N-((R)-4-Phosphopantothenoyl)-L-cysteine	XQYALQVLCNHCFT-CBAPKCEASA-N	15769	HMDB01117	C04352	440304	
4pyrdx	4-pyridoxate	HXACOUQIXZGNBF-UHFFFAOYSA-N	17405	HMDB00017	C00847		
4tmeabut	4-trimethylammoniobutanal	OITBLCDWXSXNCN-UHFFFAOYSA-N	18020	HMDB01345	C01149	133	
4tmeabutn	4-(trimethylammonio)butanoate	JHPNVNIEXXLNTR-UHFFFAOYSA-N	1941	HMDB01161	C01181		
56dihindlcrbxlt	5,6-dihydroxyindole-2-carboxylate	YFTGOBNOJKXZJC-UHFFFAOYSA-N	2003	HMDB01253	C04185		
56dthm	5,6-dihydrothymine	NBAKTGXDIBVZOO-UHFFFAOYSA-N	27468	HMDB00079	C00906	93556	
56dura	5,6-dihydrouracil	OIVLITBTBDPEFK-UHFFFAOYSA-N	15901	HMDB00076	C00429	649	
5HPET	5(S)-HPETE(1-)	JNUUNUQHXIOFDA-LJQANCHMSA-N	15632	HMDB01193	C05356	5280778	LMFA03060012
5a2opntn	5-amino-2-oxopentanoic acid	BWHGMFYTDQEALD-UHFFFAOYSA-N	49268	HMDB06272	C01110		LMFA01060169
5adtststerone	17beta-hydroxy-5alpha-androstan-3-one	NVKAWKQGWWIWPM-ABEVXSGRSA-N	16330	HMDB02961	C03917	10635	LMST02020042
5adtststeroneglc	5alpha-Dihydrotestosterone glucuronide	CLQMBSSRTBUNDV-CPKOJWPQSA-N		HMDB06203	C03033	44263365	LMST05010041
5adtststerones	5alpha-Dihydrotestosterone sulfate	KYVPWJSGFKNNLD-ABEVXSGRSA-N		HMDB06278		18665256	
5aizc	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate	XFVULMDJZXYMSG-ZIYNGMLESA-N	28413	HMDB06273	C04751	165388	
5aop	5-Amino-4-oxopentanoate	ZGXJTSGNIOSYLO-UHFFFAOYSA-N	17549	HMDB01149	C00430	137	LMFA01100055
5dhf	pentaglutamyl folate (DHF)	IVSPPVMFGMVDLI-LSBAASHUSA-N		HMDB06487		73374	
5dpmev	(R)-5-Diphosphomevalonate	SIGQQUBJQXSAMW-ZCFIWIBFSA-N	15899	HMDB01090	C01143	439418	LMFA01050416
5eipencoa	5,8,11,14,17-eicosapentenoylcoa						
5forthf	5-Formiminotetrahydrofolate	YCWUVLPMLLBDCU-UHFFFAOYSA-N	57456	HMDB01534	C00664	530	
5fthf	5-formyltetrahydrofolate(2-)	VVIAGPKUTFNRDU-STQMWFEESA-N	63606	HMDB01562	C03479	143	
5g2oxpt	5-guanidino-2-oxopentanoic acid	ARBHXJXXVVHMET-UHFFFAOYSA-N	28116	HMDB04225	C03771		
5homeprazole	5 hydroxy omeprazole						
5hoxindact	(5-hydroxyindol-3-yl)acetaldehyde	OBFAPCIUSYHFIE-UHFFFAOYSA-N	50157	HMDB04073	C05634		
5hoxindoa	5-Hydroxyindoleacetate	DUUGKQCEGZLZNO-UHFFFAOYSA-N	27823	HMDB00763	C05635		
5hoxnfkyn	5-hydroxy-N-formylkynurenine	LSTOUSIIVKMJBU-UHFFFAOYSA-N	2065	HMDB04086	C05648	440744	
