"affy_hg_u133_plus_2"	"entrezgene"
"201530_x_at"	NA
"243844_at"	NA
"1560940_at"	100506680
"1560941_a_at"	100506680
"224828_at"	80315
"224829_at"	80315
"224831_at"	80315
"1569811_at"	NA
"240219_at"	100506697
"207256_at"	4153
"232016_at"	NA
"238160_at"	134526
"1553319_at"	27199
"242288_s_at"	84034
"224374_s_at"	84034
"221980_at"	84034
"210554_s_at"	NA
"222277_at"	NA
"209507_at"	6119
"212866_at"	203069
"35156_at"	203069
"209850_s_at"	10435
"214014_at"	10435
"229099_at"	790955
"231334_at"	NA
"230889_at"	645321
"211639_x_at"	NA
"222190_s_at"	64755
"217891_at"	64755
"204988_at"	2244
"216238_s_at"	2244
"226262_at"	56919
"222875_at"	56919
"237205_at"	440184
"231515_at"	NA
"201990_s_at"	1389
"201989_s_at"	1389
"201988_s_at"	1389
"226985_at"	152273
"226984_at"	152273
"222229_x_at"	NA
"217451_at"	NA
"233474_at"	NA
"243204_at"	NA
"1562990_at"	NA
"233366_at"	26272
"223493_at"	26272
"209079_x_at"	56108
"211876_x_at"	56108
"215836_s_at"	56108
"205717_x_at"	56108
"211066_x_at"	56108
"216352_x_at"	56108
"224247_s_at"	55173
"218106_s_at"	55173
"222522_x_at"	55173
"208450_at"	3957
"243098_at"	NA
"219690_at"	NA
"226700_at"	NA
"228906_at"	80312
"211921_x_at"	NA
"200773_x_at"	NA
"200772_x_at"	NA
"243610_at"	138255
"236519_at"	138255
"1562770_at"	NA
"1553467_at"	347442
"237975_at"	100505986
"208486_at"	1816
"224929_at"	340061
"224916_at"	340061
"202893_at"	10497
"219908_at"	27123
"224199_at"	27123
"212601_at"	23140
"207189_s_at"	23140
"207190_at"	23140
"206941_x_at"	9723
"204343_at"	21
"208818_s_at"	1312
"213981_at"	1312
"208817_at"	1312
"236804_at"	1312
"217381_s_at"	NA
"216298_at"	NA
"1559790_at"	NA
"241943_at"	497259
"243721_at"	497259
"242417_at"	144100
"228450_at"	144100
"203498_at"	10231
"240682_at"	497634
"216822_x_at"	NA
"222150_s_at"	54103
"213142_x_at"	54103
"244361_at"	5977
"202116_at"	5977
"227176_at"	114134
"1552695_a_at"	114134
"1552694_at"	114134
"234268_at"	114134
"233675_s_at"	NA
"211518_s_at"	652
"44111_at"	26276
"218415_at"	26276
"205276_s_at"	9567
"226359_at"	9567
"219357_at"	9567
"231431_s_at"	100505573
"207183_at"	2842
"203640_at"	10150
"205017_s_at"	10150
"205018_s_at"	10150
"209079_x_at"	8641
"211876_x_at"	8641
"215836_s_at"	8641
"205717_x_at"	8641
"211066_x_at"	8641
"216352_x_at"	8641
"209079_x_at"	56101
"211876_x_at"	56101
"215836_s_at"	56101
"205717_x_at"	56101
"211066_x_at"	56101
"216352_x_at"	56101
"221301_at"	80737
"227272_at"	NA
"235821_at"	8840
"206796_at"	8840
"219110_at"	54433
"224697_at"	8816
"227251_at"	8816
"224703_at"	8816
"224696_s_at"	8816
"1554558_at"	8816
"220741_s_at"	27068
"1556285_s_at"	27068
"1556284_at"	27068
"1554499_s_at"	27068
"1553768_a_at"	285761
"226609_at"	285761
"238227_at"	NA
"214271_x_at"	26783
"237222_at"	123722
"205567_at"	8534
"211809_x_at"	1305
"211343_s_at"	1305
"244074_at"	NA
"201871_s_at"	51035
"210623_at"	51035
"219632_s_at"	7442
"219712_s_at"	7442
"219632_s_at"	23729
"219712_s_at"	23729
"1562834_at"	NA
"1560316_s_at"	NA
"226596_x_at"	NA
"220815_at"	29119
"1554235_at"	29119
"244589_at"	NA
"1561069_at"	NA
"209612_s_at"	125
"209614_at"	125
"209613_s_at"	125
"223299_at"	90701
"235676_at"	90701
"1562760_at"	NA
"217046_s_at"	177
"210081_at"	177
"221524_s_at"	58528
"221523_s_at"	58528
"214908_s_at"	8295
"202642_s_at"	8295
"209079_x_at"	5098
"211876_x_at"	5098
"215836_s_at"	5098
"205717_x_at"	5098
"211066_x_at"	5098
"216352_x_at"	5098
"209079_x_at"	9708
"211876_x_at"	9708
"215836_s_at"	9708
"205717_x_at"	9708
"211066_x_at"	9708
"216352_x_at"	9708
"230478_at"	170392
"219056_at"	79621
"229210_at"	79621
"220184_at"	79923
"220432_s_at"	51302
"1553977_a_at"	51302
"1561474_at"	NA
"213564_x_at"	3945
"201030_x_at"	3945
"229352_at"	246777
"1558628_at"	NA
"1558899_s_at"	503569
"223484_at"	100126311
"203216_s_at"	4646
"210480_s_at"	4646
"203215_s_at"	4646
"221258_s_at"	81930
"207009_at"	8929
"214033_at"	730013
"238520_at"	55809
"233324_at"	55809
"229016_s_at"	55809
"225491_at"	6506
"208389_s_at"	6506
"1558010_s_at"	6506
"1558009_at"	6506
"228683_s_at"	79047
"218553_s_at"	79047
"222668_at"	79047
"222664_at"	79047
"235367_at"	84665
"1558845_at"	100506089
"219503_s_at"	55287
"222892_s_at"	55287
"212680_x_at"	26472
"230374_at"	26472
"210324_at"	733
"228040_at"	NA
"1569840_at"	NA
"1569841_x_at"	NA
"221798_x_at"	574042
"203107_x_at"	574042
"202587_s_at"	NA
"218114_at"	26088
"50277_at"	26088
"45572_s_at"	26088
"1554670_at"	26088
"217560_at"	26088
"208958_at"	23071
"208959_s_at"	23071
"208957_at"	23071
"1557388_at"	25914
"227072_at"	25914
"1553277_at"	25914
"218599_at"	9985
"230470_at"	257203
"222461_s_at"	8924
"217902_s_at"	8924
"222461_s_at"	100653292
"217902_s_at"	100653292
"210740_s_at"	3705
"210197_at"	3705
"217710_x_at"	3705
